feature,0,1,[C1] 0(%),[C1] 1(%),[C2] 0(%),[C2] 1(%),[C3] 0(%),[C3] 1(%),[C4] 0(%),[C4] 1(%),[C5] 0(%),[C5] 1(%),[C6] 0(%),[C6] 1(%),[C7] 0(%),[C7] 1(%),[C8] 0(%),[C8] 1(%),[C9] 0(%),[C9] 1(%)
Acquired coagulation disorder (disorder),178,4,0.56,0.0,17.42,0.0,0.0,50.0,1.12,0.0,0.56,0.0,23.6,0.0,55.62,50.0,0.56,0.0,0.56,0.0
Acute allergic reaction,179,3,0.56,0.0,17.32,0.0,1.12,0.0,1.12,0.0,0.56,0.0,21.79,100.0,56.42,0.0,0.56,0.0,0.56,0.0
Acute bacterial sinusitis (disorder),172,10,0.58,0.0,17.44,10.0,1.16,0.0,1.16,0.0,0.58,0.0,23.84,10.0,54.07,80.0,0.58,0.0,0.58,0.0
Acute bronchitis (disorder),107,75,0.93,0.0,17.76,16.0,0.93,1.33,1.87,0.0,0.0,1.33,20.56,26.67,57.01,53.33,0.93,0.0,0.0,1.33
Acute deep venous thrombosis (disorder),173,9,0.58,0.0,17.34,11.11,0.58,11.11,1.16,0.0,0.58,0.0,23.12,22.22,55.49,55.56,0.58,0.0,0.58,0.0
Acute myeloid leukemia  disease (disorder),161,21,0.62,0.0,16.15,23.81,1.24,0.0,1.24,0.0,0.62,0.0,16.77,71.43,62.11,4.76,0.62,0.0,0.62,0.0
Acute pulmonary embolism (disorder),164,18,0.61,0.0,17.68,11.11,0.61,5.56,0.0,11.11,0.61,0.0,25.0,5.56,54.27,66.67,0.61,0.0,0.61,0.0
Acute respiratory distress syndrome (disorder),177,5,0.56,0.0,17.51,0.0,0.56,20.0,0.0,40.0,0.56,0.0,23.73,0.0,55.93,40.0,0.56,0.0,0.56,0.0
Acute respiratory failure (disorder),164,18,0.61,0.0,18.29,5.56,0.0,11.11,0.0,11.11,0.61,0.0,24.39,11.11,54.88,61.11,0.61,0.0,0.61,0.0
Acute viral pharyngitis (disorder),106,76,0.0,1.32,16.98,17.11,0.0,2.63,1.89,0.0,0.0,1.32,24.53,21.05,54.72,56.58,0.94,0.0,0.94,0.0
Anemia (disorder),132,50,0.0,2.0,16.67,18.0,0.76,2.0,1.52,0.0,0.0,2.0,31.82,0.0,47.73,76.0,0.76,0.0,0.76,0.0
Antepartum eclampsia,179,3,0.56,0.0,15.64,100.0,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,56.42,0.0,0.56,0.0,0.56,0.0
Appendicitis,173,9,0.0,11.11,17.92,0.0,1.16,0.0,1.16,0.0,0.58,0.0,24.28,0.0,53.76,88.89,0.58,0.0,0.58,0.0
Atopic dermatitis,176,6,0.57,0.0,17.61,0.0,1.14,0.0,1.14,0.0,0.57,0.0,22.16,50.0,55.68,50.0,0.57,0.0,0.57,0.0
Bacteremia (finding),178,4,0.56,0.0,16.85,25.0,1.12,0.0,1.12,0.0,0.56,0.0,21.91,75.0,56.74,0.0,0.56,0.0,0.56,0.0
Body mass index 30+ - obesity (finding),110,72,0.91,0.0,18.18,15.28,0.0,2.78,0.91,1.39,0.91,0.0,35.45,4.17,41.82,76.39,0.91,0.0,0.91,0.0
Body mass index 40+ - severely obese (finding),178,4,0.56,0.0,16.29,50.0,1.12,0.0,1.12,0.0,0.56,0.0,23.6,0.0,55.62,50.0,0.56,0.0,0.56,0.0
