feature,0,1,[C1] 0(%),[C1] 1(%),[C2] 0(%),[C2] 1(%),[C3] 0(%),[C3] 1(%),[C4] 0(%),[C4] 1(%),[C5] 0(%),[C5] 1(%),[C6] 0(%),[C6] 1(%),[C7] 0(%),[C7] 1(%),[C8] 0(%),[C8] 1(%),[C9] 0(%),[C9] 1(%)
Acute bronchitis (disorder),107,75,0.93,0.0,17.76,16.0,0.93,1.33,1.87,0.0,0.0,1.33,20.56,26.67,57.01,53.33,0.93,0.0,0.0,1.33
Acute myeloid leukemia  disease (disorder),161,21,0.62,0.0,16.15,23.81,1.24,0.0,1.24,0.0,0.62,0.0,16.77,71.43,62.11,4.76,0.62,0.0,0.62,0.0
Acute pulmonary embolism (disorder),164,18,0.61,0.0,17.68,11.11,0.61,5.56,0.0,11.11,0.61,0.0,25.0,5.56,54.27,66.67,0.61,0.0,0.61,0.0
Acute respiratory distress syndrome (disorder),177,5,0.56,0.0,17.51,0.0,0.56,20.0,0.0,40.0,0.56,0.0,23.73,0.0,55.93,40.0,0.56,0.0,0.56,0.0
Acute respiratory failure (disorder),164,18,0.61,0.0,18.29,5.56,0.0,11.11,0.0,11.11,0.61,0.0,24.39,11.11,54.88,61.11,0.61,0.0,0.61,0.0
Body mass index 30+ - obesity (finding),110,72,0.91,0.0,18.18,15.28,0.0,2.78,0.91,1.39,0.91,0.0,35.45,4.17,41.82,76.39,0.91,0.0,0.91,0.0
Body mass index 40+ - severely obese (finding),178,4,0.56,0.0,16.29,50.0,1.12,0.0,1.12,0.0,0.56,0.0,23.6,0.0,55.62,50.0,0.56,0.0,0.56,0.0
Cardiac Arrest,176,6,0.57,0.0,16.48,33.33,1.14,0.0,0.57,16.67,0.57,0.0,23.86,0.0,55.68,50.0,0.57,0.0,0.57,0.0
Childhood asthma,175,7,0.57,0.0,17.71,0.0,1.14,0.0,1.14,0.0,0.57,0.0,21.14,71.43,56.57,28.57,0.57,0.0,0.57,0.0
Chronic obstructive bronchitis (disorder),179,3,0.0,33.33,16.76,33.33,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,55.87,33.33,0.56,0.0,0.56,0.0
Coronary Heart Disease,171,11,0.58,0.0,18.13,0.0,1.17,0.0,0.0,18.18,0.58,0.0,23.98,9.09,54.39,72.73,0.58,0.0,0.58,0.0
Diabetes,172,10,0.58,0.0,16.28,30.0,1.16,0.0,0.58,10.0,0.0,10.0,24.42,0.0,55.81,50.0,0.58,0.0,0.58,0.0
Diabetic renal disease (disorder),178,4,0.56,0.0,16.85,25.0,1.12,0.0,0.56,25.0,0.0,25.0,23.6,0.0,56.18,25.0,0.56,0.0,0.56,0.0
Febrile neutropenia (disorder),166,16,0.6,0.0,16.27,25.0,1.2,0.0,1.2,0.0,0.6,0.0,18.67,68.75,60.24,6.25,0.6,0.0,0.6,0.0
Heart failure (disorder),177,5,0.56,0.0,17.51,0.0,0.0,40.0,0.0,40.0,0.56,0.0,23.73,0.0,56.5,20.0,0.56,0.0,0.56,0.0
History of cardiac arrest (situation),176,6,0.57,0.0,16.48,33.33,1.14,0.0,0.57,16.67,0.57,0.0,23.86,0.0,55.68,50.0,0.57,0.0,0.57,0.0
Hyperglycemia (disorder),177,5,0.56,0.0,16.38,40.0,1.13,0.0,1.13,0.0,0.56,0.0,23.73,0.0,55.37,60.0,0.56,0.0,0.56,0.0
Hypertension,139,43,0.72,0.0,16.55,18.6,0.0,4.65,0.72,2.33,0.0,2.33,29.5,2.33,51.8,67.44,0.72,0.0,0.0,2.33
Injury of heart (disorder),178,4,0.56,0.0,17.42,0.0,0.0,50.0,0.56,25.0,0.56,0.0,23.6,0.0,56.18,25.0,0.56,0.0,0.56,0.0
Malignant neoplasm of breast (disorder),177,5,0.56,0.0,17.51,0.0,0.56,20.0,1.13,0.0,0.56,0.0,23.73,0.0,54.8,80.0,0.56,0.0,0.56,0.0
Neutropenia (disorder),177,5,0.56,0.0,16.95,20.0,1.13,0.0,1.13,0.0,0.56,0.0,21.47,80.0,57.06,0.0,0.56,0.0,0.56,0.0
Overlapping malignant neoplasm of colon,180,2,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.0,100.0,0.56,0.0,0.56,0.0
Prediabetes,133,49,0.0,2.04,15.79,20.41,1.5,0.0,0.75,2.04,0.0,2.04,31.58,0.0,48.87,73.47,0.75,0.0,0.75,0.0
Pulmonary emphysema (disorder),178,4,0.56,0.0,16.85,25.0,1.12,0.0,1.12,0.0,0.56,0.0,23.6,0.0,55.06,75.0,0.56,0.0,0.56,0.0
Respiratory distress (finding),145,37,0.0,2.7,18.62,10.81,0.0,5.41,0.0,5.41,0.69,0.0,26.21,10.81,53.1,64.86,0.69,0.0,0.69,0.0
Suspected COVID-19,0,182,0.0,0.55,0.0,17.03,0.0,1.1,0.0,1.1,0.0,0.55,0.0,23.08,0.0,55.49,0.0,0.55,0.0,0.55
SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  100 mcg/0.5mL dose,129,53,0.78,0.0,13.18,26.42,1.55,0.0,1.55,0.0,0.78,0.0,28.68,9.43,51.94,64.15,0.78,0.0,0.78,0.0
SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  30 mcg/0.3mL dose,119,63,0.0,1.59,15.13,20.63,1.68,0.0,1.68,0.0,0.84,0.0,31.09,7.94,47.9,69.84,0.84,0.0,0.84,0.0
SARS-COV-2 (COVID-19) vaccine  vector non-replicating  recombinant spike protein-Ad26  preservative free  0.5 mL,177,5,0.56,0.0,16.95,20.0,1.13,0.0,1.13,0.0,0.56,0.0,23.73,0.0,55.37,60.0,0.0,20.0,0.56,0.0
Chemotherapy (procedure),160,22,0.62,0.0,16.25,22.73,1.25,0.0,1.25,0.0,0.62,0.0,16.88,68.18,61.88,9.09,0.62,0.0,0.62,0.0
Face mask (physical object),0,182,0.0,0.55,0.0,17.03,0.0,1.1,0.0,1.1,0.0,0.55,0.0,23.08,0.0,55.49,0.0,0.55,0.0,0.55
Lung volume reduction surgery (procedure),180,2,0.56,0.0,16.67,50.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.56,50.0,0.56,0.0,0.56,0.0
Oxygen administration by mask (procedure),145,37,0.0,2.7,18.62,10.81,0.0,5.41,0.0,5.41,0.69,0.0,26.21,10.81,53.1,64.86,0.69,0.0,0.69,0.0
