feature,0,1,[C1] 0(%),[C1] 1(%),[C2] 0(%),[C2] 1(%),[C3] 0(%),[C3] 1(%),[C4] 0(%),[C4] 1(%)
Acquired coagulation disorder (disorder),936,14,44.76,0.0,26.82,92.86,12.71,0.0,15.71,7.14
Acute allergic reaction,937,13,44.18,38.46,28.07,7.69,12.38,23.08,15.37,30.77
Acute bacterial sinusitis (disorder),888,62,44.03,45.16,27.93,25.81,12.5,12.9,15.54,16.13
Acute bronchitis (disorder),570,380,42.28,46.84,29.3,25.53,11.4,14.21,17.02,13.42
Acute deep venous thrombosis (disorder),880,70,44.77,35.71,26.7,41.43,12.73,10.0,15.8,12.86
Acute myeloid leukemia  disease (disorder),818,132,43.77,46.21,29.1,19.7,11.98,15.91,15.16,18.18
Acute pulmonary embolism (disorder),898,52,44.77,32.69,27.06,40.38,12.69,9.62,15.48,17.31
Acute respiratory distress syndrome (disorder),928,22,45.15,0.0,26.4,86.36,12.61,9.09,15.84,4.55
Acute respiratory failure (disorder),855,95,45.96,27.37,25.26,50.53,12.75,10.53,16.02,11.58
Acute viral pharyngitis (disorder),555,395,44.14,44.05,29.19,25.82,12.07,13.16,14.59,16.96
Alcoholism,945,5,44.13,40.0,27.83,20.0,12.49,20.0,15.56,20.0
Allergy to latex (finding),949,1,44.05,100.0,27.82,0.0,12.54,0.0,15.6,0.0
Alzheimer's disease (disorder),943,7,44.11,42.86,27.68,42.86,12.62,0.0,15.59,14.29
Anemia (disorder),695,255,42.88,47.45,26.47,31.37,14.1,8.24,16.55,12.94
Antepartum eclampsia,926,24,44.06,45.83,27.65,33.33,12.74,4.17,15.55,16.67
Appendicitis,907,43,44.1,44.19,28.0,23.26,12.46,13.95,15.44,18.6
Atopic dermatitis,927,23,43.58,65.22,28.37,4.35,12.3,21.74,15.75,8.7
Atrial Fibrillation,928,22,43.86,54.55,27.69,31.82,12.82,0.0,15.62,13.64
Bacteremia (finding),917,33,44.17,42.42,27.81,27.27,12.54,12.12,15.49,18.18
Bacterial infectious disease (disorder),942,8,44.48,0.0,27.39,75.0,12.53,12.5,15.61,12.5
Bleeding from anus,946,4,44.08,50.0,27.8,25.0,12.58,0.0,15.54,25.0
Blighted ovum,943,7,44.33,14.29,27.57,57.14,12.62,0.0,15.48,28.57
Body mass index 30+ - obesity (finding),633,317,43.6,45.11,25.91,31.55,14.53,8.52,15.96,14.83
Body mass index 40+ - severely obese (finding),941,9,44.31,22.22,27.74,33.33,12.43,22.22,15.52,22.22
Brain damage - traumatic,948,2,44.2,0.0,27.74,50.0,12.55,0.0,15.51,50.0
Bullet wound,948,2,43.99,100.0,27.85,0.0,12.55,0.0,15.61,0.0
Carcinoma in situ of prostate (disorder),937,13,44.08,46.15,28.07,7.69,12.49,15.38,15.37,30.77
Cardiac Arrest,926,24,44.71,20.83,27.65,33.33,12.74,4.17,14.9,41.67
Cerebral palsy (disorder),947,3,44.03,66.67,27.77,33.33,12.57,0.0,15.63,0.0
Chiari malformation type II (disorder),949,1,44.05,100.0,27.82,0.0,12.54,0.0,15.6,0.0
Child attention deficit disorder,936,14,44.23,35.71,27.78,28.57,12.5,14.29,15.49,21.43
Childhood asthma,923,27,43.45,66.67,28.28,11.11,12.57,11.11,15.71,11.11
Chill (finding),837,113,42.89,53.1,27.96,26.55,12.9,9.73,16.25,10.62
Chronic congestive heart failure (disorder),947,3,44.14,33.33,27.77,33.33,12.57,0.0,15.52,33.33
Chronic intractable migraine without aura,901,49,43.95,46.94,27.64,30.61,12.76,8.16,15.65,14.29
Chronic kidney disease stage 1 (disorder),925,25,44.0,48.0,28.22,12.0,12.43,16.0,15.35,24.0
Chronic kidney disease stage 2 (disorder),947,3,44.14,33.33,27.88,0.0,12.57,0.0,15.42,66.67
Chronic low back pain (finding),776,174,42.01,53.45,28.22,25.86,13.66,7.47,16.11,13.22
Chronic neck pain (finding),841,109,43.52,48.62,27.82,27.52,13.08,8.26,15.58,15.6
Chronic obstructive bronchitis (disorder),942,8,44.16,37.5,27.49,62.5,12.63,0.0,15.71,0.0
Chronic pain,908,42,44.16,42.86,27.75,28.57,12.78,7.14,15.31,21.43
Chronic sinusitis (disorder),756,194,43.92,44.85,28.04,26.8,13.1,10.31,14.95,18.04
Closed fracture of hip,944,6,43.96,66.67,27.75,33.33,12.61,0.0,15.68,0.0
Concussion injury of brain,941,9,44.31,22.22,27.63,44.44,12.54,11.11,15.52,22.22
Concussion with loss of consciousness,937,13,44.29,30.77,27.75,30.77,12.59,7.69,15.37,30.77
Concussion with no loss of consciousness,901,49,44.28,40.82,27.97,24.49,12.1,20.41,15.65,14.29
Congenital deformity of foot (disorder),949,1,44.05,100.0,27.82,0.0,12.54,0.0,15.6,0.0
Contact dermatitis,944,6,43.96,66.67,27.86,16.67,12.61,0.0,15.57,16.67
Coronary Heart Disease,910,40,43.96,47.5,27.25,40.0,12.75,7.5,16.04,5.0
