feature,0,1,[C1] 0(%),[C1] 1(%),[C2] 0(%),[C2] 1(%),[C3] 0(%),[C3] 1(%),[C4] 0(%),[C4] 1(%)
Acute bronchitis (disorder),570,380,42.28,46.84,29.3,25.53,11.4,14.21,17.02,13.42
Acute myeloid leukemia  disease (disorder),818,132,43.77,46.21,29.1,19.7,11.98,15.91,15.16,18.18
Acute pulmonary embolism (disorder),898,52,44.77,32.69,27.06,40.38,12.69,9.62,15.48,17.31
Acute respiratory distress syndrome (disorder),928,22,45.15,0.0,26.4,86.36,12.61,9.09,15.84,4.55
Acute respiratory failure (disorder),855,95,45.96,27.37,25.26,50.53,12.75,10.53,16.02,11.58
Body mass index 30+ - obesity (finding),633,317,43.6,45.11,25.91,31.55,14.53,8.52,15.96,14.83
Body mass index 40+ - severely obese (finding),941,9,44.31,22.22,27.74,33.33,12.43,22.22,15.52,22.22
Carcinoma in situ of prostate (disorder),937,13,44.08,46.15,28.07,7.69,12.49,15.38,15.37,30.77
Cardiac Arrest,926,24,44.71,20.83,27.65,33.33,12.74,4.17,14.9,41.67
Childhood asthma,923,27,43.45,66.67,28.28,11.11,12.57,11.11,15.71,11.11
Chronic obstructive bronchitis (disorder),942,8,44.16,37.5,27.49,62.5,12.63,0.0,15.71,0.0
Coronary Heart Disease,910,40,43.96,47.5,27.25,40.0,12.75,7.5,16.04,5.0
Diabetes,888,62,43.81,48.39,28.27,20.97,12.61,11.29,15.32,19.35
Diabetic renal disease (disorder),924,26,44.05,46.15,28.25,11.54,12.45,15.38,15.26,26.92
Diabetic retinopathy associated with type II diabetes mellitus (disorder),937,13,43.86,61.54,27.85,23.08,12.7,0.0,15.58,15.38
Febrile neutropenia (disorder),845,105,43.79,46.67,28.88,19.05,12.54,12.38,14.79,21.9
Heart failure (disorder),937,13,44.72,0.0,26.89,92.31,12.7,0.0,15.69,7.69
History of cardiac arrest (situation),926,24,44.71,20.83,27.65,33.33,12.74,4.17,14.9,41.67
History of myocardial infarction (situation),948,2,44.2,0.0,27.64,100.0,12.55,0.0,15.61,0.0
Hyperglycemia (disorder),921,29,43.97,48.28,28.12,17.24,12.49,13.79,15.42,20.69
Hypertension,715,235,42.38,49.36,29.23,23.4,12.59,12.34,15.8,14.89
Injury of heart (disorder),937,13,44.72,0.0,26.79,100.0,12.7,0.0,15.8,0.0
Malignant neoplasm of breast (disorder),930,20,43.76,60.0,28.06,15.0,12.69,5.0,15.48,20.0
Malignant tumor of colon,944,6,44.07,50.0,27.75,33.33,12.61,0.0,15.57,16.67
Myocardial Infarction,948,2,44.2,0.0,27.64,100.0,12.55,0.0,15.61,0.0
Neoplasm of prostate,937,13,44.08,46.15,28.07,7.69,12.49,15.38,15.37,30.77
Neutropenia (disorder),923,27,44.1,44.44,27.95,22.22,12.03,29.63,15.93,3.7
Overlapping malignant neoplasm of colon,948,2,44.09,50.0,27.74,50.0,12.55,0.0,15.61,0.0
Prediabetes,693,257,42.86,47.47,25.54,33.85,14.86,6.23,16.74,12.45
Pulmonary emphysema (disorder),943,7,44.11,42.86,27.78,28.57,12.51,14.29,15.59,14.29
Respiratory distress (finding),752,198,45.61,38.38,26.33,33.33,12.77,11.62,15.29,16.67
Suspected COVID-19,0,950,0.0,44.11,0.0,27.79,0.0,12.53,0.0,15.58
SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  100 mcg/0.5mL dose,689,261,43.25,46.36,27.87,27.59,14.8,6.51,14.08,19.54
SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  30 mcg/0.3mL dose,633,317,40.44,51.42,28.75,25.87,14.69,8.2,16.11,14.51
SARS-COV-2 (COVID-19) vaccine  vector non-replicating  recombinant spike protein-Ad26  preservative free  0.5 mL,915,35,44.26,40.0,27.65,31.43,12.57,11.43,15.52,17.14
Chemotherapy (procedure),815,135,43.8,45.93,29.2,19.26,12.02,15.56,14.97,19.26
Face mask (physical object),0,950,0.0,44.11,0.0,27.79,0.0,12.53,0.0,15.58
Heart failure education (procedure),949,1,44.15,0.0,27.71,100.0,12.54,0.0,15.6,0.0
Lung volume reduction surgery (procedure),949,1,44.15,0.0,27.71,100.0,12.54,0.0,15.6,0.0
Oxygen administration by mask (procedure),751,199,45.67,38.19,26.23,33.67,12.78,11.56,15.31,16.58
Pulmonary rehabilitation (regime/therapy),943,7,44.11,42.86,27.57,57.14,12.62,0.0,15.69,0.0
DIED IN ONE MONTH,919,31,45.59,0.0,25.35,100.0,12.95,0.0,16.1,0.0
