"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","fastGreedy_cluster","glay_cluster","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"5.3264822134387355","0.0","0.1877411694864945","0.0","1","8","18","17","false","ATXN7L2","8.0","0","1","0","0.987531751546286","false","0","ATXN7L2","0","0.0"
"4.326877470355731","0.00300393425431599","0.23111354709052712","0.0","8","7","18","17","false","LAMB1","6.5","0","8","0","0.9904124568577645","false","0","LAMB1","238506","0.16176470588235295"
"4.405138339920948","5.0786965547825E-4","0.22700762673844777","0.0","2","8","2","1","false","LRP2","8.0","0","2","0","0.9901869212106025","false","0","LRP2","38386","0.5"
"3.409486166007905","0.007402591814115596","0.2932993276141897","0.08791208791208792","18","7","2","1","false","ABL1","34.142857142857146","0","18","4","0.9930562358328302","false","0","ABL1","474278","0.10042643923240938"
"4.930434782608696","0.0","0.20282186948853614","0.0","1","8","3","17","false","RAB35","19.0","0","1","0","0.9886730986091968","false","0","RAB35","0","0.0"
"3.930830039525692","0.007893411821077846","0.25439919557566615","0.0","22","7","3","17","false","PTPRS","2.3157894736842106","0","21","1","0.9915538039206753","false","1","PTPRS","836668","0.06925207756232687"
"4.930434782608696","0.0","0.20282186948853614","0.0","1","8","3","17","false","HTATIP","19.0","0","1","0","0.9886730986091968","false","0","HTATIP","0","0.0"
"4.539920948616601","3.599926127941907E-5","0.22026815253351906","0.0","2","8","3","17","false","UTP14A","15.5","0","2","0","0.9897984987071567","false","0","UTP14A","5638","0.5178571428571429"
"4.358102766798419","3.7908378895549106E-4","0.2294576455650281","0.0","3","8","4","17","false","UNC119","16.0","0","3","0","0.9903224704126846","false","0","UNC119","30402","0.38461538461538464"
"4.190118577075099","5.44310379895109E-4","0.2386567304971229","0.0","3","7","16","17","false","UBR1","21.0","0","3","0","0.9908065747058354","false","0","UBR1","25826","0.35714285714285715"
"4.3826086956521735","3.967168086919974E-5","0.2281746031746032","0.0","2","8","4","17","false","TUBB2A","19.5","0","2","0","0.990251848139331","false","0","TUBB2A","5496","0.5606060606060606"
"4.274308300395257","2.006876952930104E-4","0.23395598298501943","0.0","3","7","4","17","false","SUMO2","16.333333333333332","0","3","0","0.9905639530247975","false","0","SUMO2","14200","0.38333333333333336"
"4.228063241106719","0.0010987274460679305","0.23651491072263253","0.0","4","8","21","17","false","SETDB1","20.0","0","4","1","0.9906972240890296","false","0","SETDB1","57828","0.3333333333333333"
"4.928853754940712","0.001580402508763951","0.20288692862870888","0.0","4","8","3","17","false","PTPRN","10.5","0","4","2","0.9886776548848971","false","0","PTPRN","214824","0.5"
"4.167193675889328","3.943638624730755E-4","0.23996964810774923","0.0","3","7","24","17","false","PTN","15.0","0","3","0","0.9908726407034889","false","0","PTN","21830","0.3684210526315789"
"3.7213438735177866","0.0028992368311410326","0.26872012745618695","0.0","3","7","17","17","false","PFN2","125.33333333333333","0","3","0","0.9921575104509573","false","0","PFN2","480990","0.3342293906810036"
"4.4430830039525695","3.781146946445225E-4","0.22506894404412417","0.0","3","8","8","17","false","KIAA1377","19.0","0","3","0","0.9900775705937966","false","0","KIAA1377","22650","0.33962264150943394"
"3.9454545454545453","0.0010052658226216231","0.2534562211981567","0.0","3","7","4","17","false","KAT5","105.5","0","3","1","0.991511658370448","false","0","KAT5","80614","0.5"
"4.930434782608696","0.0","0.20282186948853614","0.0","1","8","3","17","false","FEZ1","19.0","0","1","0","0.9886730986091968","false","0","FEZ1","0","0.0"
"3.8790513833992093","0.001719991697341745","0.2577949867536173","0.0","2","7","2","17","false","EEF1G","174.5","0","2","0","0.9917030219498583","false","0","EEF1G","180918","0.5"
"3.9193675889328063","0.0015102709258496799","0.25514320290439696","0.0","4","7","3","4","false","CHD3","29.5","0","4","0","0.991586836919502","false","0","CHD3","148030","0.26146788990825687"
"4.930434782608696","0.0","0.20282186948853614","0.0","1","8","3","17","false","NA","19.0","0","1","0","0.9886730986091968","false","0","NA","0","0.0"
"4.936758893280633","0.0","0.20256204963971175","0.0","2","8","16","3","false","PRKD2","3.0","0","2","1","0.9886548735063959","false","0","PRKD2","0","0.0"
"3.9371541501976286","8.003274292653157E-4","0.25399056319646623","0.0","5","7","16","3","false","HDAC7A","7.0","0","5","2","0.9915355788178744","false","0","HDAC7A","20820","0.375"
"3.708300395256917","0.001490848021319107","0.2696653165636325","0.0","7","7","7","3","false","SFN","37.5","0","7","1","0.9921950997254844","false","0","SFN","136190","0.17464114832535885"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","NR2E3","28.0","0","1","0","0.9894795594081398","false","0","NR2E3","0","0.0"
"3.65098814229249","0.01592936214393785","0.27389845187831546","0.0","29","7","9","8","false","NCOR1","2.392857142857143","0","29","1","0.9923602647196182","false","0","NCOR1","1161322","0.05803571428571429"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","DHX30","28.0","0","1","0","0.9894795594081398","false","0","DHX30","0","0.0"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","RDBP","28.0","0","1","0","0.9894795594081398","false","0","RDBP","0","0.0"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","NCOR2","28.0","0","1","0","0.9894795594081398","false","0","NCOR2","0","0.0"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","LIN54","28.0","0","1","0","0.9894795594081398","false","0","LIN54","0","0.0"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","EBI-1264387","28.0","0","1","0","0.9894795594081398","false","0","EBI-1264387","0","0.0"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","BAG1","28.0","0","1","0","0.9894795594081398","false","0","BAG1","0","0.0"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","ZMYND11","28.0","0","1","0","0.9894795594081398","false","0","ZMYND11","0","0.0"
"3.116600790513834","0.003999224938884103","0.320862396956246","0.0","7","7","9","5","false","TRIM28","205.66666666666666","0","7","1","0.9939002859063002","false","0","TRIM28","876218","0.22441520467836257"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","SRCAP","28.0","0","1","0","0.9894795594081398","false","0","SRCAP","0","0.0"
"3.591304347826087","0.0012707625623621143","0.27845036319612587","0.0","3","7","9","8","false","SMARCC2","174.0","0","3","0","0.9925322641273022","false","0","SMARCC2","201048","0.3559670781893004"
"3.1142292490118577","0.004863145663770434","0.3211067394339383","0.06666666666666667","6","7","4","3","false","SMARCC1","159.0","0","6","0","0.9939071203198505","false","0","SMARCC1","719338","0.1871552403467297"
"4.317391304347826","4.504337229228752E-4","0.23162134944612287","0.0","2","8","9","8","false","SMARCB1","20.5","0","2","0","0.9904397945119658","false","0","SMARCB1","8350","0.5"
"3.1264822134387353","0.005152641171214995","0.3198482932996207","0.0","6","7","9","3","false","SMARCA4","174.83333333333334","0","6","0","0.9938718091831736","false","0","SMARCA4","807368","0.1953183520599251"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","SKI","28.0","0","1","0","0.9894795594081398","false","0","SKI","0","0.0"
"3.760079051383399","0.0011629527842018184","0.2659518553558289","0.0","4","7","2","8","false","SF3B3","107.0","0","4","0","0.9920458816963015","false","0","SF3B3","114016","0.26044226044226043"
"3.734782608695652","6.613574467472502E-4","0.26775320139697323","0.0","3","8","12","5","false","SF3A1","138.33333333333334","0","3","0","0.9921187821075054","false","0","SF3A1","82472","0.35951134380453753"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","HDAC9","28.0","0","1","0","0.9894795594081398","false","0","HDAC9","0","0.0"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","DACH1","28.0","0","1","0","0.9894795594081398","false","0","DACH1","0","0.0"
