imgs,masks,areas
006_FLAIR23.bmp,006_FLAIR23_mask.png,1130
006_FLAIR24.bmp,006_FLAIR24_mask.png,859
007_FLAIR11.bmp,007_FLAIR11_mask.png,743
007_FLAIR12.bmp,007_FLAIR12_mask.png,2907
007_FLAIR13.bmp,007_FLAIR13_mask.png,7341
007_FLAIR14.bmp,007_FLAIR14_mask.png,21759
007_FLAIR16.bmp,007_FLAIR16_mask.png,20639
007_FLAIR17.bmp,007_FLAIR17_mask.png,21683
007_FLAIR18.bmp,007_FLAIR18_mask.png,20923
007_FLAIR19.bmp,007_FLAIR19_mask.png,11796
007_FLAIR21.bmp,007_FLAIR21_mask.png,13010
007_FLAIR22.bmp,007_FLAIR22_mask.png,3494
007_FLAIR23.bmp,007_FLAIR23_mask.png,1725
007_FLAIR24.bmp,007_FLAIR24_mask.png,764
007_FLAIR04.bmp,007_FLAIR4_mask.png,2707
007_FLAIR05.bmp,007_FLAIR5_mask.png,2850
007_FLAIR06.bmp,007_FLAIR6_mask.png,1268
008_FLAIR16.bmp,008_FLAIR16_mask.png,177
008_FLAIR04.bmp,008_FLAIR4_mask.png,3546
008_FLAIR05.bmp,008_FLAIR5_mask.png,4667
008_FLAIR06.bmp,008_FLAIR6_mask.png,6661
008_FLAIR07.bmp,008_FLAIR7_mask.png,7521
008_FLAIR08.bmp,008_FLAIR8_mask.png,13876
009_FLAIR13.bmp,009_FLAIR13_mask.png,188
009_FLAIR15.bmp,009_FLAIR15_mask.png,27
009_FLAIR19.bmp,009_FLAIR19_mask.png,1155
009_FLAIR20.bmp,009_FLAIR20_mask.png,2353
009_FLAIR21.bmp,009_FLAIR21_mask.png,857
009_FLAIR22.bmp,009_FLAIR22_mask.png,2166
009_FLAIR23.bmp,009_FLAIR23_mask.png,27
009_FLAIR24.bmp,009_FLAIR24_mask.png,1234
009_FLAIR25.bmp,009_FLAIR25_mask.png,1285
010_FLAIR10.bmp,010_FLAIR10_mask.png,9156
010_FLAIR11.bmp,010_FLAIR11_mask.png,9820
010_FLAIR12.bmp,010_FLAIR12_mask.png,12571
010_FLAIR13.bmp,010_FLAIR13_mask.png,15517
010_FLAIR14.bmp,010_FLAIR14_mask.png,44540
010_FLAIR15.bmp,010_FLAIR15_mask.png,23912
010_FLAIR16.bmp,010_FLAIR16_mask.png,17642
010_FLAIR17.bmp,010_FLAIR17_mask.png,17600
010_FLAIR18.bmp,010_FLAIR18_mask.png,8659
010_FLAIR19.bmp,010_FLAIR19_mask.png,7703
010_FLAIR20.bmp,010_FLAIR20_mask.png,3121
010_FLAIR21.bmp,010_FLAIR21_mask.png,556
