imgs,masks,areas
060_FLAIR13.bmp,060_FLAIR13_mask.png,545
060_FLAIR14.bmp,060_FLAIR14_mask.png,870
060_FLAIR15.bmp,060_FLAIR15_mask.png,318
060_FLAIR16.bmp,060_FLAIR16_mask.png,1607
060_FLAIR17.bmp,060_FLAIR17_mask.png,2566
060_FLAIR18.bmp,060_FLAIR18_mask.png,46729
060_FLAIR19.bmp,060_FLAIR19_mask.png,2738
060_FLAIR20.bmp,060_FLAIR20_mask.png,669
060_FLAIR21.bmp,060_FLAIR21_mask.png,632
060_FLAIR22.bmp,060_FLAIR22_mask.png,354
061_FLAIR15.bmp,061_FLAIR15_mask.png,26471
061_FLAIR16.bmp,061_FLAIR16_mask.png,658
061_FLAIR17.bmp,061_FLAIR17_mask.png,47
061_FLAIR18.bmp,061_FLAIR18_mask.png,1082
061_FLAIR20.bmp,061_FLAIR20_mask.png,271
061_FLAIR21.bmp,061_FLAIR21_mask.png,235
061_FLAIR22.bmp,061_FLAIR22_mask.png,44378
061_FLAIR23.bmp,061_FLAIR23_mask.png,227
062_FLAIR11.bmp,062_FLAIR11_mask.png,2509
062_FLAIR12.bmp,062_FLAIR12_mask.png,855
062_FLAIR13.bmp,062_FLAIR13_mask.png,40764
062_FLAIR14.bmp,062_FLAIR14_mask.png,2230
062_FLAIR15.bmp,062_FLAIR15_mask.png,1505
062_FLAIR16.bmp,062_FLAIR16_mask.png,1117
062_FLAIR17.bmp,062_FLAIR17_mask.png,1004
062_FLAIR18.bmp,062_FLAIR18_mask.png,2652
062_FLAIR20.bmp,062_FLAIR20_mask.png,3076
062_FLAIR21.bmp,062_FLAIR21_mask.png,195
063_FLAIR10.bmp,063_FLAIR10_mask.png,1158
063_FLAIR11.bmp,063_FLAIR11_mask.png,1756
063_FLAIR12.bmp,063_FLAIR12_mask.png,1645
063_FLAIR13.bmp,063_FLAIR13_mask.png,2351
063_FLAIR14.bmp,063_FLAIR14_mask.png,4916
063_FLAIR15.bmp,063_FLAIR15_mask.png,4746
063_FLAIR16.bmp,063_FLAIR16_mask.png,1515
063_FLAIR17.bmp,063_FLAIR17_mask.png,189
063_FLAIR09.bmp,063_FLAIR9_mask.png,742
064_FLAIR23.png,064_FLAIR23_mask.png,145
064_FLAIR24.png,064_FLAIR24_mask.png,164
065_FLAIR18.bmp,065_FLAIR18_mask.png,17090
065_FLAIR19.bmp,065_FLAIR19_mask.png,345
065_FLAIR20.bmp,065_FLAIR20_mask.png,228
065_FLAIR21.bmp,065_FLAIR21_mask.png,218
066_FLAIR29.png,066_FLAIR29_mask.png,62
066_FLAIR30.png,066_FLAIR30_mask.png,277
066_FLAIR31.png,066_FLAIR31_mask.png,621
066_FLAIR32.png,066_FLAIR32_mask.png,432
066_FLAIR33.png,066_FLAIR33_mask.png,323
066_FLAIR34.png,066_FLAIR34_mask.png,63
066_FLAIR35.png,066_FLAIR35_mask.png,12
066_FLAIR36.png,066_FLAIR36_mask.png,192
066_FLAIR37.png,066_FLAIR37_mask.png,413
067_FLAIR23.png,067_FLAIR23_mask.png,126
067_FLAIR24.png,067_FLAIR24_mask.png,386
067_FLAIR26.png,067_FLAIR26_mask.png,21150
067_FLAIR27.png,067_FLAIR27_mask.png,453
067_FLAIR28.png,067_FLAIR28_mask.png,946
067_FLAIR29.png,067_FLAIR29_mask.png,1132
067_FLAIR30.png,067_FLAIR30_mask.png,1255
067_FLAIR31.png,067_FLAIR31_mask.png,1256
067_FLAIR32.png,067_FLAIR32_mask.png,1034
067_FLAIR33.png,067_FLAIR33_mask.png,1016
067_FLAIR34.png,067_FLAIR34_mask.png,658
067_FLAIR35.png,067_FLAIR35_mask.png,1053
067_FLAIR36.png,067_FLAIR36_mask.png,538
067_FLAIR37.png,067_FLAIR37_mask.png,819
067_FLAIR38.png,067_FLAIR38_mask.png,499
067_FLAIR39.png,067_FLAIR39_mask.png,448
067_FLAIR40.png,067_FLAIR40_mask.png,242
067_FLAIR41.png,067_FLAIR41_mask.png,335
068_FLAIR13.png,068_FLAIR13_mask.png,39
068_FLAIR14.png,068_FLAIR14_mask.png,94
068_FLAIR15.png,068_FLAIR15_mask.png,138
068_FLAIR23.png,068_FLAIR23_mask.png,118
068_FLAIR24.png,068_FLAIR24_mask.png,163
068_FLAIR25.png,068_FLAIR25_mask.png,105
068_FLAIR26.png,068_FLAIR26_mask.png,192
068_FLAIR27.png,068_FLAIR27_mask.png,140
068_FLAIR28.png,068_FLAIR28_mask.png,310
068_FLAIR29.png,068_FLAIR29_mask.png,360
069_FLAIR25.png,069_FLAIR25_mask.png,142
069_FLAIR26.png,069_FLAIR26_mask.png,330
069_FLAIR27.png,069_FLAIR27_mask.png,710
069_FLAIR28.png,069_FLAIR28_mask.png,512
069_FLAIR29.png,069_FLAIR29_mask.png,192
069_FLAIR32.png,069_FLAIR32_mask.png,394
069_FLAIR33.png,069_FLAIR33_mask.png,588
069_FLAIR34.png,069_FLAIR34_mask.png,368
069_FLAIR35.png,069_FLAIR35_mask.png,101
070_FLAIR13.png,070_FLAIR13_mask.png,52
070_FLAIR14.png,070_FLAIR14_mask.png,325
070_FLAIR15.png,070_FLAIR15_mask.png,637
070_FLAIR16.png,070_FLAIR16_mask.png,1088
070_FLAIR17.png,070_FLAIR17_mask.png,891
070_FLAIR18.png,070_FLAIR18_mask.png,1136
070_FLAIR19.png,070_FLAIR19_mask.png,206
070_FLAIR20.png,070_FLAIR20_mask.png,845
070_FLAIR21.png,070_FLAIR21_mask.png,1039
070_FLAIR22.png,070_FLAIR22_mask.png,738
